"Timestamp","When was the last time you watched a movie?","How often do you watch movies (In a Month)?","Most of the movies you wanted to watch was because of...","How often do you go to the Cinema?","What is your favorite movie?","Why would someone want to watch this movie?","What do you like most about your favorite movie?","What's the genre of your favorite movie?","Are there any movie genres that you think are underrated or underappreciated?","1 = Least Favorite
5 = Most Favorite [Action]","1 = Least Favorite
5 = Most Favorite [Adventure]","1 = Least Favorite
5 = Most Favorite [Comedy]","1 = Least Favorite
5 = Most Favorite [Drama]","1 = Least Favorite
5 = Most Favorite [Romance]","1 = Least Favorite
5 = Most Favorite [Horror]","1 = Least Favorite
5 = Most Favorite [Sci-fi or Fantasy]","1 = Least Favorite
5 = Most Favorite [Musical]","1 = Least Favorite
5 = Most Favorite [Family]","Do you usually research a new movie before watching it?","If Yes, Which of the following sources do you use?","Which form of Movie Advertising do you find most effective?","How often does a movie disappoint your expectations?","1 = Least Important
5 = Most Important [Cast]","1 = Least Important
5 = Most Important [Genre]","1 = Least Important
5 = Most Important [Director]","1 = Least Important
5 = Most Important [Studio]","1 = Least Important
5 = Most Important [Reviews]","1 = Least Important
5 = Most Important [Quality of Story]","Where do you usually watch movies","When do you usually decide which movie you are going to see?","Most of the movies you wanted to watch was because of...","When going to the Cinema, you usually go..","Who do you usually go to the cinema with?","What do you usually do if you arrive to the Cinema and your movie has been sold out?","Do the Seats and Snacks of the Cinema usually have an effect on how much you enjoy a movie?","Why do you prefer watching movies at home instead of going to the cinema?","What's the genre you prefer watching home?","What kind of setup do you have for watching movies at home? Do you have a special room or equipment?","Where do you usually watch movies home?","What's your favorite Streaming Platform? (Where do you usually download movies)","What is your Student ID?","What is your Age?","Are you a Student in FCDS?","If Yes, What's your major (Department)?","If No, What's your college major?","Please select your Gender.","Please let us know if you have any comments or suggestions on how we can improve this survey.","","","","","","","","","","","","","","","",""
"2023/04/24 3:19:44 PM GMT+2","This month","Once or twice","Trailers","Once a month","Delibal","","Genre","Drama;Musical","","2","4","4","5","2","2","4","5","4","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Almost Always","5","3","3","3","4","5","","Before going to the Cinema","Internet Sites","Weekend - Evening","","Watch another movie","Yes","","","","","","20221400409","19","","","","Female","You are doing great","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:20:18 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Fast & Furious","","Quality of Story","Action;Sci-fi or Fantasy","","5","5","3","3","1","5","5","2","4","Yes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","5","5","4","3","5","","In the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","Yes","","","","","","20201371755","20","","","","Female","Thanks, Good Luck🤍","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:20:53 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once a month","Ten things I hate about you ","","Quality of Story","Action;Adventure;Drama;Romance;Horror","","3","4","2","2","4","3","1","1","2","Sometimes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","3","2","2","3","4","","Before going to the Cinema","Friends Recommendations","Weekday - Afternoon","","Watch another movie","Yes","","","","","","22010450","19","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:23:46 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","إسكندرية.. ليه ؟","","Quality of Story","Adventure;Comedy;Drama","","1","2","3","4","2","1","1","2","3","Yes","Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","2","2","4","2","3","4","","Before going to the Cinema","Friends Recommendations","Weekday - Evening","","Find something else to do","No","","","","","","20221460183 ","20","","","","Male","Nope","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:28:25 PM GMT+2","Less than a week","Less than once","Friends Recommendations","I don't go to the Cinema","Marvel movies","","Acting","Action;Comedy","","5","2","5","4","4","2","3","3","4","Sometimes","","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","2","2","4","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","","Yes","","","","","","20221452894 ","20","","","","Female","عادي اقتراح بسيط بس في الجزء الخاص بأسئلة السينما ممكن تخلوا مش شرط يتجاوب عليه؛ عشان ممكن حد مارحش السينما قبل كدة ف في الحالة دي هيحط اي إجابات","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:29:20 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Hary Potter ","","Quality of Story","Adventure;Sci-fi or Fantasy","","1","5","3","3","4","3","5","2","3","Yes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","3","4","2","2","4","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Find something else to do","Yes","","","","","","20221441791","20","","","","Female","Thank you ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:29:21 PM GMT+2","This month","Three or four times","Social Media (Viral Videos)","Once or Twice a year","The Magician’s Elephant","","Acting","Romance","","1","2","4","3","4","1","3","3","4","Yes","Internet Sites","Viral Videos","Sometimes","4","3","1","3","4","4","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Watch another movie","No","","","","","","20221320560","20","","","","Female","Survey is perfect ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:30:12 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","Love, rosie","","Quality of Story","Romance","","2","3","1","4","4","4","4","1","2","Yes","Internet Sites","Viral Videos","Sometimes","4","5","1","1","3","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Buy tickets for a later show","No","","","","","","20201378363","21","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:30:43 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Divergent ","","Acting","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","","4","5","2","5","4","1","4","2","3","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","5","3","1","5","5","","Before going to the Cinema","Friends Recommendations","Weekend - Evening","","Find something else to do","Yes","","","","","","20221380283","20","","","","Female","Amazing survey 👌","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:30:45 PM GMT+2","Last Month","Less than once","Social Media (Viral Videos)","Once or Twice a year","Call","","Acting","Comedy;Drama;Romance;Thriller ","","2","4","5","4","4","1","4","1","2","Yes","Internet Sites","Viral Videos","Usually","4","5","4","2","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","Yes","","","","","","0","20","","","","Female","There are some questions depend on going to cinema, but if I don't go to cinema how can l answer these questions?","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:32:05 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once a month","italian job","","Quality of Story","Action;Adventure;Comedy;Drama;Romance;Horror;Sci-fi or Fantasy;Family","","5","3","5","4","5","5","3","2","2","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","4","2","2","4","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Find something else to do","Yes","","","","","","7952","20","","","","Male","<33","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 3:34:41 PM GMT+2","I don't watch movies often","Less than once","Trailers","Once a month","...","","Quality of Story","Action;Comedy;Romance;Horror","","1","2","2","3","1","3","1","3","3","Sometimes","Internet Sites;TV Entertainment Programs;Friends' Opinions (who already watched it)","Print Advertising (Posters + Ads in Newspapers & Magazines)","Usually","1","1","3","3","2","2","","In the Cinema","Trailers","Weekday - Evening","","Buy tickets for a later show","Yes","","","","","","20221370618","20","","","","Female","...","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:41:13 PM GMT+2","I don't watch movies often","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Tangled","","Quality of Story","Adventure;Romance","","3","4","5","4","5","1","2","3","2","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","4","5","3","2","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Afternoon","","Buy tickets for a later show","Yes","","","","","","210101068","20","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:49:41 PM GMT+2","Less than a week","More than four times","Friends Recommendations","Once or Twice a year","the amazing spider man ","","Quality of Story","Action;Sci-fi or Fantasy","","5","4","3","1","1","5","5","1","1","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Print Advertising (Posters + Ads in Newspapers & Magazines)","Sometimes","5","4","5","2","5","5","","Before going to the Cinema","Friends Recommendations","Weekend - Afternoon","","Find something else to do","No","","","","","","20221462957","21","","","","Female","No","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:50:57 PM GMT+2","Last Month","Once or twice","Internet Sites","I don't go to the Cinema","Forrest Gump","","Quality of Story","Action;Comedy;Sci-fi or Fantasy","","5","4","5","3","2","1","4","1","4","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","4","3","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Buy tickets for a later show","Yes","","","","","","20221372697","21","","","","Male","في اسألة كنت حابب اختار فيها كذا اجابة فخلوها Checkbox و في اسألة كانت متكررة +
ربنا معاكو ❤️","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:56:06 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Passengers","","Quality of Story","Adventure;Drama;Sci-fi or Fantasy","","5","5","4","4","2","4","5","3","3","Sometimes","YouTube Shorts","Trailers (Screened at Cinemas + on TV/Radio)","Never","2","5","2","3","5","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","","No","","","","","","22011460","19","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 3:56:50 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","Ibrahim El-Abid","","Quality of Story","Action;Family","","5","3","4","2","2","4","2","1","5","Yes","Internet Sites;Critical Reviews","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","3","3","4","2","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Find something else to do","Yes","","","","","","20201370879","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:00:20 PM GMT+2","Less than a week","Three or four times","Internet Sites","I don't go to the Cinema","the prestige ","","Directing","crimes","","5","1","1","5","5","5","1","5","1","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","5","1","1","5","","Before going to the Cinema","Internet Sites","Weekday - Evening","","Find something else to do","No","","","","","","20221461122","21","","","","Male","it's pretty cool I don't have comments but I think you should add crimasy and philosophy types of movies because It's my favourite types thank you.","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:02:46 PM GMT+2","This month","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Interstellar","","Quality of Story","Action;Adventure;Comedy;Sci-fi or Fantasy","","5","5","3","1","1","1","5","1","1","Yes","Internet Sites;Critical Reviews","Internet Sites (including Facebook 'fan' pages)","Never","3","4","5","5","5","5","","Before going to the Cinema","Trailers","Weekday - Evening","","Find something else to do","Yes","","","","","","667888","20","","","","Male","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:05:35 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once or Twice a year","The hunger games","","Acting","Adventure;Romance;Sci-fi or Fantasy","","2","4","2","3","4","4","4","1","2","Yes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","1","5","1","1","4","5","","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","","Watch another movie","Yes","","","","","","2022137","20","","","","Female","","","","","","","","","In the Cinema","","","","","","","",""
"2023/04/24 4:06:47 PM GMT+2","Less than a week","Once or twice","Trailers","Once or Twice a year","Interstellar ","","Quality of Story","Action;Adventure;Comedy;Drama;Romance","","3","3","2","3","2","1","1","1","2","Yes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Usually","5","4","4","2","3","5","","Before going to the Cinema","Trailers","Weekend - Evening","","","Yes","","","","","","2022149693","21","","","","Male","Good job guys 👏","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:11:08 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","Ashique2","","Quality of Story","Comedy;Drama;Romance","","1","1","4","5","5","1","3","4","4","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","5","5","3","1","3","5","","Before going to the Cinema","Internet Sites","Weekend - Afternoon","","Find something else to do","Yes","","","","","","2022","20","","","","Female","If i don't go to cinema add choose in last  the questions ","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:16:30 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","More than once a month","Shultter island ","","Quality of Story","Adventure;Drama","","3","3","1","3","2","2","1","2","1","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","5","5","3","4","5","","Before going to the Cinema","Trailers","Weekend - Evening","","Watch another movie","Yes","","","","","","20221380263","20","","","","Female","No","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:18:34 PM GMT+2","I don't watch movies often","Less than once","Trailers","I don't go to the Cinema","الهروب ","","Quality of Story","Drama","","4","5","5","5","1","5","5","4","5","No","","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Sometimes","5","5","5","5","5","5","","In the Cinema","Friends Recommendations","Weekend - Evening","","Find something else to do","Yes","","","","","","2865","24 or Older","","","","Female","","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 4:22:06 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","Laf w dawaran","","Quality of Story","Adventure;Comedy;Romance;Family","","2","2","3","3","3","1","3","2","3","Sometimes","Internet Sites","Internet Sites (including Facebook 'fan' pages)","Sometimes","2","2","2","3","3","3","","In the Cinema","Friends Recommendations","Weekend - Afternoon","","Buy tickets for a later show","Yes","","","","","","20221462499","20","","","","Female","It’s good.","","","","","","","","Home (On the Internet)","","","","","","","",""
"2023/04/24 5:44:41 PM GMT+2","I don't watch movies often","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Tangled","It's fun and cheerful","Quality of Story","Adventure;Romance","Musical","3","4","5","4","5","1","2","3","2","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","4","5","3","2","4","5","Home","","","","","","","It's more cozy and money saver","Comedy;Romance","I watch movies in bed in my laptop","Downloaded from the Internet","Netflix","210101068","20","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 5:44:50 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once or Twice a year","The Banshees of Inisherin","it will touch him","Acting","Comedy;Drama;Black comedy ","no","2","3","4","5","3","3","4","2","3","Sometimes","Friends' Opinions (who already watched it);IMDb","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","5","4","1","3","3","Home","","","","","","","feeling more comfortable ","Comedy;Drama","laptop","Downloaded from the Internet","akoam","20221460263","20","Yes","Data Science (General)","","Male","","","","","","","","","","","","","","","","",""
"2023/04/24 5:48:11 PM GMT+2","Last Month","Less than once","Social Media (Viral Videos)","Once or Twice a year","final destination ","if they like unexpected action they would like to watch this movie","Quality of Story","Action;Horror","comedy ig","3","3","5","2","1","2","4","3","3","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Never","1","1","1","1","3","4","Home","","","","","","","cuz i'm broke","Comedy","no just on tv by screen mirroring","Downloaded from the Internet","any possible site","3","19","No","","language and translation ","Female","it was good no worries ","","","","","","","","","","","","","","","",""
"2023/04/24 6:01:34 PM GMT+2","Last Month","Once or twice","Friends Recommendations","Once or Twice a year","Interestellar ","Because it's an amazing movie ","Quality of Story","Action;Adventure;Romance;Sci-fi or Fantasy","Yes , adventure movies","5","5","3","4","4","3","5","3","4","Sometimes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","4","3","4","5","In the Cinema","Before going to the Cinema","Friends Recommendations","Weekday - Afternoon","Friends","Buy tickets for a later show","Yes","","","","","","20221379966","20","Yes","Data Science (General)","","Female","Good job ","","","","","","","","","","","","","","","",""
"2023/04/24 6:05:32 PM GMT+2","Last Month","More than four times","Internet Sites","I don't go to the Cinema","The notebook","Has an interesting story ","Genre","Drama;Romance","Romantic","1","3","4","5","5","3","4","1","5","No","","Viral Videos","Sometimes","4","5","5","5","5","5","Home","","","","","","","More comfortable ","Drama","No only my room","Downloaded from the Internet","Not a specific one ","20221378166","20","Yes","Data Science (General)","","Female","I find it great ","","","","","","","","","","","","","","","",""
"2023/04/24 6:06:03 PM GMT+2","Less than a week","Less than once","Friends Recommendations","Once or Twice a year","Fast and farious ","If he wants he will watch ","Acting","Action","Yup","5","4","5","2","2","2","4","2","4","Yes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","3","3","3","3","3","3","Home","","","","","","","Seve Time","Action","No","Downloaded from the Internet","Cinema 4 u","20221461362","20","Yes","Data Science (General)","","Male","Less the number of the questions ","","","","","","","","","","","","","","","",""
"2023/04/24 6:11:07 PM GMT+2","Less than a week","Three or four times","Friends Recommendations","I don't go to the Cinema","The Martian ","Suspension, full of adventure, science fiction ","Directing","Adventure;Comedy","الكنز","1","5","5","4","5","2","4","3","5","Yes","Internet Sites;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","5","2","1","4","5","Home","","","","","","","Comfort","Adventure;Comedy;Romance;Family","On my bedroom with my snacks ","Downloaded from the Internet","Egybest","20221081365","20","Yes","Data Science (General)","","Female","So good","","","","","","","","","","","","","","","",""
"2023/04/24 6:14:02 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","I don't go to the Cinema","اكس لارج","For fun","Quality of Story","Horror","Underrated ","1","1","5","5","5","5","1","1","1","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Usually","5","5","1","1","5","5","Home","","","","","","","Because I don't have some one to go with him ","Romance","No","On TV","YouTube ","22010188","19","Yes","Data Science (General)","","Female","No❤️🥰","","","","","","","","","","","","","","","",""
"2023/04/24 6:19:24 PM GMT+2","Less than a week","Three or four times","Trailers","I don't go to the Cinema","Lucy ","Because it's an enjoyable one that mix imagination with science and human abilities ","Quality of Story","Action;Adventure;Comedy;Drama;Romance;Horror;Family","  For me maybe the sportive and musical types ","2","3","2","2","3","4","1","1","1","Sometimes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","3","1","1","2","3","Home","","","","","","","at home save money , more flexible at time . therefore, i watch my film comfortably because i stop or continue my film at any time i want ","Action;Adventure;Comedy;Drama;Romance;Horror;Family","My Laptop , i use my personal room","On TV","Shahid 4u , Netflix and watch it ....","20221461977","19","Yes","Data Science (General)","","Female","Good luck ","","","","","","","","","","","","","","","",""
"2023/04/24 6:21:54 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once a month","Pearl Harbor","Its just amazing ","Quality of Story","Action;Adventure;Drama;Romance","Wanted","4","4","3","3","4","1","3","2","2","Sometimes","TV Entertainment Programs;Friends' Opinions (who already watched it)","Viral Videos","Sometimes","5","4","2","4","2","5","In the Cinema","Before going to the Cinema","Social Media (Viral Videos)","Weekend - Evening","Frnds or my girl","Buy tickets for a later show","Yes","","","","","","20221488200","23","Yes","Data Science (General)","","Male",".","","","","","","","","","","","","","","","",""
"2023/04/24 6:28:04 PM GMT+2","I don't watch movies often","Less than once"," الاعلانات وسوشيال ميديا وترشيحات صحابى","Once or Twice a year","مفيش حاجة محددة مسلسل ممكن لكن فيلم لا"," مفيش حاجة محددة بالنسبالى علشان اقول سبب علشانها","Acting","Action;Comedy;Sci-fi or Fantasy","histroical ده اكتر نوع مش متقن 
ونادرا ما تلاقى. حاجة حلوة معمولة علشانه","5","3","2","1","1","1","5","1","1","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Merchandising (Games, Soundtrack, T-shirts, etc... related to the movie brand)","Almost Always","5","5","5","1","1","5","Home","","","","","","","  تكلفة اول حاجة اشتراكات سنوية فى نيت فليكس او ديزنى او امازون برايم ارخص بكتير من انى اروح سينما فى كل فيلم ينزل","Action;Comedy;Sci-fi or Fantasy"," هو تليفزيون السمارت وشكرا هحتاج اكتر من كده ايه رضا والله واحيانا من تابلت","On TV"," نيت فليكس وايجى بيست لما كان موجود","20221460016","21","Yes","Data Science (General)","","Male"," ممتاز والله نظام الاسئلة لذيذ جدا وسهل وبسيط انى افهمه اللى عمل الاسئلة ممتاز  حقيقى ","","","","","","","","","","","","","","","",""
"2023/04/24 6:30:45 PM GMT+2","Less than a week","Less than once","Social Media (Viral Videos)","Once or Twice a year","Interstellar ","To escape from reality ","Directing","Sci-fi or Fantasy","Fantasy movies ","1","2","4","2","3","1","5","1","1","Sometimes","Internet Sites","Viral Videos","Usually","5","4","5","1","4","5","In the Cinema","Before going to the Cinema","Trailers","Weekday - Afternoon","Friends","Find something else to do","No","","","","","","","20","No","","Graphic designing ","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 6:36:32 PM GMT+2","Last Month","Less than once","Social Media (Viral Videos)","I don't go to the Cinema","عسل اسود","Because the movie has a Great idea","Quality of Story","Adventure","Sci-fi","4","5","5","5","2","5","1","5","5","Yes","Internet Sites","Viral Videos","Usually","5","5","5","5","5","5","Home","","","","","","","I prefer watching movies laying in bed ","Horror","No","On TV","Netflix ","2052","19","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 6:39:43 PM GMT+2","Less than a week","Once or twice","Internet Sites","I don't go to the Cinema","A beautiful mind ","IDK, but it has high rate ","Quality of Story","Romance;Musical;","Cartoons","2","2","2","3","4","1","2","4","3","No","","Internet Sites (including Facebook 'fan' pages)","Sometimes","4","3","4","3","3","5","Home","","","","","","","In home be more focused and relaxed ","Drama;Romance;Musical;Family","Just my dark room and my laptop ","Downloaded from the Internet","Egybest  and mycinema ","006","20","Yes","Data Science (General)","Data ","Male","T7yati l ahla team f aldnya , Allah bless you all ♥️","","","","","","","","","","","","","","","",""
"2023/04/24 6:40:07 PM GMT+2","Last Month","Three or four times","Trailers","Once or Twice a year","Me before you ","Because the love story of this movie 💝","Acting","Romance","No","3","3","4","4","5","5","5","3","5","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","4","5","3","4","4","Home","","","","","","","I dont like going to the cinema ","Drama;Romance;Horror;Family","My bed,my phone , earphones and anything to eat","Downloaded from the Internet","Egybest or cima club","","19","No","","Faculty of education ","Female","You're perfect ❤️","","","","","","","","","","","","","","","",""
"2023/04/24 6:41:21 PM GMT+2","I don't watch movies often","Less than once","Trailers","I don't go to the Cinema","I don't have one","To waste there time","Acting","Action;Adventure;Comedy;Horror","I don't remember ","5","5","5","1","1","4","5","1","1","Sometimes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","4","4","3","4","5","Home","","","","","","","I'm lazy ","Action;Adventure;Comedy;Horror;Sci-fi or Fantasy","No","Downloaded from the Internet","Netflix ","20221444401","21","Yes","Data Science (General)","","Male","Great work ","","","","","","","","","","","","","","","",""
"2023/04/24 6:42:39 PM GMT+2","Less than a week","More than four times","Social Media (Viral Videos)","Once a month","World war z","To enjoy his free time","Quality of Story","Action;Horror;Sci-fi or Fantasy","No i dont think so","5","3","3","2","2","4","5","1","4","Sometimes","Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","2","2","2","4","4","5","Home","","","","","","","To aviod noise and saving money","Action;Horror;Sci-fi or Fantasy","No all i need is popcorn","On TV","Netfilx","20221444348","19","Yes","Data Science (General)","","Male","No i dont","","","","","","","","","","","","","","","",""
"2023/04/24 6:42:54 PM GMT+2","I don't watch movies often","Less than once","Friends Recommendations","Once or Twice a year","Harry Potter ","Because they like the books","Quality of Story","Adventure;Sci-fi or Fantasy;Family","Musical","1","5","3","5","5","5","5","5","5","Sometimes","Internet Sites;Critical Reviews;TV Entertainment Programs;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","5","1","1","5","5","Home","","","","","","","I don't like cinema ","Adventure;Sci-fi or Fantasy;Family","No","Downloaded from the Internet","Netflix ","","20","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 6:44:15 PM GMT+2","Less than a week","Once or twice","Social Media (Viral Videos)","I don't go to the Cinema","Interstellar ","As it’s entertaining ","Quality of Story","Action;Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","No","4","4","4","3","3","1","5","2","4","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Internet Sites (including Facebook 'fan' pages)","Sometimes","3","3","4","4","4","5","Home","","","","","","","I don’t like being surrounded by so many people","Adventure;Comedy;Drama;Romance;Sci-fi or Fantasy","No","Downloaded from the Internet","Shahid4u","","19","Yes","Data Science (General)","","Female","","","","","","","","","","","","","","","","",""
"2023/04/24 6:45:59 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","I don't go to the Cinema","Forrest gump ","Because it's the GOAT ","Acting","Drama","Off course ","4","4","5","5","2","2","4","3","3","Yes","Internet Sites;Critical Reviews;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","4","4","3","5","5","Home","","","","","","","cuz I'm lazy and cinema is too far from home ","Action;Comedy;Drama","No, just the bed","Downloaded from the Internet","Wecima🤣","20221449568","19","Yes","Data Science (General)","","Male","It's Perfect 🥵👌","","","","","","","","","","","","","","","",""
"2023/04/24 6:49:54 PM GMT+2","I don't watch movies often","Less than once","Friends Recommendations","I don't go to the Cinema","Any movie ""harry potter""","Because it is amazing ","Quality of Story","Adventure;Romance;Family","No","2","5","3","3","5","1","2","3","5","Sometimes","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","4","4","5","4","3","5","Home","","","","","","","Because i prefer home more than cinema ","Adventure;Romance;Family","Yes my room","On TV","Telegram or YouTube ","","19","No","","Agriculture ","Female","No, good luck ♥️♥️","","","","","","","","","","","","","","","",""
"2023/04/24 6:51:20 PM GMT+2","Less than a week","Three or four times","Social Media (Viral Videos)","Once a month","Forest gump","A touching movie and have many meanings and morals","Quality of Story","Drama","Science fiction ","5","4","4","5","3","3","4","2","4","No","Internet Sites;Friends' Opinions (who already watched it)","Trailers (Screened at Cinemas + on TV/Radio)","Sometimes","5","3","4","3","2","5","Home","","","","","","","Better mode ","Action;Drama;Family","No","On TV","Hd today","20221445843","19","Yes","Data Science (General)","","Male","Its good","","","","","","","","","","","","","","","",""
